Id,Supermercado,Marca,Producto,Precio,Categoria,Enlace,Fecha,porMayor
0,Lider,Soprole,"Leche Entera Natural, 200 Ml",470,Leche Entera,https://www.lider.cl/supermercado/product/sku/4512350/soprole-leche-entera-natural-200-ml,2024-10-01,
1,Lider,Soprole,"Leche Entera Natural, 200 Ml",470,Leche Entera,https://www.lider.cl/supermercado/product/sku/4512350/soprole-leche-entera-natural-200-ml,2024-10-06,
2,Lider,Soprole,"Leche Entera Natural, 200 Ml",470,Leche Entera,https://www.lider.cl/supermercado/product/sku/4512350/soprole-leche-entera-natural-200-ml,2024-10-26,
3,Lider,Soprole,"Leche Entera Natural, 200 Ml",470,Leche Entera,https://www.lider.cl/supermercado/product/sku/4512350/soprole-leche-entera-natural-200-ml,2024-11-02,
4,Lider,Costa,"Galleta Frac Clásica, 110 G",483,Frac,https://www.lider.cl/supermercado/product/sku/1411447/costa-galleta-frac-clasica-110-g,2024-10-01,
5,Lider,Costa,"Galleta Frac Chocolate, 110 G",483,Frac,https://www.lider.cl/supermercado/product/sku/1411445/costa-galleta-frac-chocolate-110-g,2024-10-01,
6,Lider,Costa,"Galleta Frac Bi Frutilla, 110 G",483,Frac,https://www.lider.cl/supermercado/product/sku/5375/costa-galleta-frac-bi-frutilla-110-g,2024-10-01,
7,Lider,Costa,"Galletas Frac Naranja, 110 G",483,Frac,https://www.lider.cl/supermercado/product/sku/1158795/costa-galletas-frac-naranja-110-g,2024-10-01,
8,Lider,Costa,"Galleta Frac Vainilla, 110 G",483,Frac,https://www.lider.cl/supermercado/product/sku/1411449/costa-galleta-frac-vainilla-110-g,2024-10-01,
9,Lider,Costa,"Galletas Frac Bi Capuccino, 110 G",483,Frac,https://www.lider.cl/supermercado/product/sku/5363/costa-galletas-frac-bi-capuccino-110-g,2024-10-01,
10,Santa Isabel,Soprole,Leche Soprole Entera Natural 200 Ml,485,Leche Entera,https://www.santaisabel.cl/leche-entera-soprole-200-ml-1843490/p,2024-10-26,
